City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
389,santa elena de uairen,VE,4.6167,-61.1333,80,Posada Villa Fairmont
390,cheongsong gun,KR,36.4335,129.057,34,주왕산온천관광호텔
391,atafu village,TK,-8.5421,-172.5159,71,No hotel found
392,weno,FM,7.4515,151.8468,94,High Tide Hotel
393,manokwari,ID,-0.8667,134.0833,70,Hotel Arfak
394,lakhnadon,IN,22.6,79.6,30,No hotel found
395,mejit,MH,10.2753,170.8646,83,No hotel found
398,ribeira brava,PT,32.65,-17.0667,76,Cheerfulway Bravamar Hotel
399,shingu,JP,33.7333,135.9833,41,ホテルニューパレス
401,nouadhibou,MR,20.931,-17.0347,71,Hotel valencia
402,batang,ID,-6.4846,110.7083,86,Palm Beach Hotel
405,xique xique,BR,-10.8217,-42.7311,48,Hotel J. Macedo
408,cadereyta,MX,25.5833,-99.9833,64,Best Western Centro Cadereyta
411,victoria falls,ZW,-17.9235,25.843,74,Shearwater Explorers Village
413,sayat,TM,38.7839,63.8803,53,No hotel found
415,sao gabriel da cachoeira,BR,-0.1303,-67.0892,99,Hotel Deus Me Deu
416,teofilo otoni,BR,-17.8575,-41.5053,97,Hotel Lancaster
418,howard springs,AU,-12.497,131.047,84,Rydges Palmerston
420,borujen,IR,31.9652,51.2873,68,هتل فجر
423,antonio enes,MZ,-16.2325,39.9086,87,Hotel Quirimbas
424,jieshi,CN,22.8134,115.8257,61,No hotel found
425,pathein,MM,16.7833,94.7333,46,Taan Taan Ta
431,coahuayana de hidalgo,MX,18.7,-103.6583,93,No hotel found
435,ar rutbah,IQ,33.0381,40.2848,69,No hotel found
436,malango,ID,-2.9627,119.9001,59,Madarana
437,hasaki,JP,35.7333,140.8333,27,Choshi Plaza Hotel
441,aljezur,PT,37.3191,-8.8033,67,Vicentina Hotel
448,qinnan,CN,33.2531,119.9133,17,No hotel found
449,bouar,CF,5.934,15.596,19,Mission catholique
452,fereydunshahr,IR,32.941,50.121,66,No hotel found
453,conde,BR,-7.2597,-34.9075,100,Paladino
454,fale old settlement,TK,-9.3852,-171.2468,74,No hotel found
459,siwa oasis,EG,29.2041,25.5195,61,Flower of the city hotel
460,touros,BR,-5.1989,-35.4608,84,Pousada Atlântico
461,ghadamis,LY,30.1337,9.5007,41,فندق عين الفارس
464,nguigmi,NE,14.2495,13.1092,22,Guest PAM
465,waspan,NI,14.7419,-83.9717,97,Hospedaje Vanessa
468,teluk nibung,ID,3.001,99.8164,63,Hotel Bengawan
469,kaffrine,SN,14.1059,-15.5508,13,Hôtel de Kaffrine
471,bubaque,GW,11.2833,-15.8333,53,Chez Julio
472,makakilo city,US,21.3469,-158.0858,62,Embassy Suites by Hilton Oahu Kapolei
476,alaior,ES,39.9303,4.1404,81,No hotel found
477,huarmey,PE,-10.0681,-78.1522,78,Hostal Santa Rosa
479,dakhla,EH,23.6848,-15.958,88,Hotel Ayouz
480,san zenon,CO,9.2422,-74.5004,57,Hotel Santa Cruz
481,santiago de cao,PE,-7.9589,-79.2392,94,Hostal El Encanto
483,cabinda,AO,-5.55,12.2,87,Hotel Mayombe
485,acarau,BR,-2.8856,-40.12,87,No hotel found
487,tutoia,BR,-2.7619,-42.2744,90,Pousada San Vicente
488,marine corps base hawaii - mcbh,US,21.4453,-157.7513,85,No hotel found
489,la tijera,MX,19.9,-104.4,46,No hotel found
490,mbanza kongo,AO,-6.267,14.2401,99,Hotel Estrela de Congo
491,salinopolis,BR,-0.6136,-47.3561,84,Hotel Salinópolis
492,oued fodda,DZ,36.185,1.533,93,Hôtel des Platanes
493,holualoa,US,19.6228,-155.9522,69,Kona Hotel
494,mana,GF,5.6592,-53.7767,91,Le Samana
495,mutuali,MZ,-14.8706,37.0044,95,No hotel found
496,papao,PF,-17.75,-149.55,76,Hiti Moana Villa Lodge
497,san pedro,PH,14.35,121.0167,72,Hotel Takara
499,sidi khaled,DZ,34.387,4.9879,64,فندق ترنزيت
502,yelwa,NG,8.8333,9.6333,11,No hotel found
507,toba,JP,34.4833,136.85,42,鳥羽シーサイドホテル
508,boda,CF,4.3189,17.4695,27,Hotel de Ville
510,lautoka,FJ,-17.6167,177.4667,74,Cathay Hotel
511,kampong thom,KH,12.7111,104.8887,43,សណ្ឋាគារអរុណរះ
512,porto velho,BR,-8.7619,-63.9039,88,Hotel Slaviero Essential Porto Velho
514,yanam,IN,16.7333,82.2167,55,Hôtel Sarvainn
517,pingliang,CN,35.5392,106.6861,27,平凉新都酒店
519,matanzas,CU,23.0411,-81.5775,88,Hotel Rio San Juan
520,roccella ionica,IT,38.322,16.4009,72,Mediterraneo
521,soe,ID,-9.8607,124.284,76,DENA
522,luanda,AO,-8.8368,13.2343,81,Hotel Forum
523,tanjungtiram,ID,4.0613,98.3699,56,No hotel found
524,pacific grove,US,36.6177,-121.9166,88,Pacific Grove Inn
527,talara,PE,-4.5772,-81.2719,78,Hospedaje El Aypate
530,buala,SB,-8.145,159.5921,68,No hotel found
532,hirara,JP,24.8,125.2833,48,古謝そば屋
533,betare oya,CM,5.6,14.0833,23,No hotel found
534,kuta,ID,-8.7233,115.1723,70,Ida Hotel Bali
537,san pedro pochutla,MX,15.7333,-96.4667,70,Olimpia
538,zhangzhou,CN,24.5133,117.6556,53,漳州宾馆
539,mata-utu,WF,-13.2816,-176.1745,62,Gîte Oceania
540,xining,CN,36.6167,101.7667,52,Qinghai hotel
541,hadibu,YE,12.65,54.0333,72,No hotel found
542,evergreen,US,39.6333,-105.3172,36,Highland Haven Creekside Inn
544,kloulklubed,PW,7.0419,134.2556,82,The Adventures Inn
546,tripoli,LY,32.8752,13.1875,59,الاصيل
548,antsohihy,MG,-14.8796,47.9875,96,Escale
549,ajdabiya,LY,30.7554,20.2263,67,فندق المدينة
550,djibo,BF,14.1022,-1.6306,20,No hotel found
551,suicheng,CN,33.8963,117.9331,21,No hotel found
552,kangiwa,NG,12.5521,3.8187,10,No hotel found
553,zouerate,MR,22.7187,-12.4521,20,فندق تيرس زمور
554,abocho,NG,7.5677,6.9863,81,No hotel found
555,reggane,DZ,26.7158,0.1714,33,No hotel found
559,qazvin,IR,36.2797,50.0049,42,هتل سفیر
563,leiyang,CN,26.4024,112.8591,75,Kyriad Hotel Leiyang West Lake Amusement Park
569,valle de la pascua,VE,9.2155,-66.0073,74,Palace Hotel
572,jabor,MH,5.921,169.6434,84,No hotel found
573,oyama,JP,36.3,139.8,18,東横イン 小山駅東口1
575,serenje,ZM,-13.2325,30.2352,99,Mogan Guesthouse
576,kaga bandoro,CF,6.9896,19.1874,23,No hotel found
582,acapulco de juarez,MX,16.8634,-99.8901,75,Hotel del Valle
583,tazacorte,ES,28.629,-17.9293,74,App Leyma
